time,open,high,low,close,RSI
1956-12-05,46.389999,46.389999,46.389999,46.389999,90.44889030623196
1956-12-06,46.810001,46.810001,46.810001,46.810001,94.91525310275622
1956-12-07,47.040001,47.040001,47.040001,47.040001,96.63743055766336
1956-12-10,46.799999,46.799999,46.799999,46.799999,56.61750334197412
1956-12-11,46.48,46.48,46.48,46.48,26.905376189675664
1956-12-12,46.130001,46.130001,46.130001,46.130001,12.525944967557066
1956-12-13,46.5,46.5,46.5,46.5,58.93176342725243
1956-12-14,46.540001,46.540001,46.540001,46.540001,63.1578504192845
1956-12-17,46.540001,46.540001,46.540001,46.540001,63.1578504192845
1956-12-18,46.540001,46.540001,46.540001,46.540001,63.1578504192845
1956-12-19,46.43,46.43,46.43,46.43,19.350705403160717
1956-12-20,46.07,46.07,46.07,46.07,3.4929227966112535
1956-12-21,46.369999,46.369999,46.369999,46.369999,59.20774095690104
1956-12-26,46.389999,46.389999,46.389999,46.389999,62.123312667918725
1956-12-27,46.349998,46.349998,46.349998,46.349998,48.311087907843856
1956-12-28,46.560001,46.560001,46.560001,46.560001,84.49874677467162
1956-12-31,46.669998,46.669998,46.669998,46.669998,91.05737882636892
1957-01-02,46.200001,46.200001,46.200001,46.200001,19.727810895244403
1957-01-03,46.599998,46.599998,46.599998,46.599998,65.59796621729791
1957-01-04,46.66,46.66,46.66,46.66,70.63261687356236
1957-01-07,46.419998,46.419998,46.419998,46.419998,32.538339517887394
1957-01-08,46.25,46.25,46.25,46.25,18.44540222440017
1957-01-09,46.16,46.16,46.16,46.16,12.645956303666594
1957-01-10,46.27,46.27,46.27,46.27,50.607286902158215
1957-01-11,46.18,46.18,46.18,46.18,29.575665403765726
1957-01-14,45.860001,45.860001,45.860001,45.860001,7.477551312061564
1957-01-15,45.18,45.18,45.18,45.18,1.7908173660005389
1957-01-16,45.23,45.23,45.23,45.23,11.669614821877033
1957-01-17,45.220001,45.220001,45.220001,45.220001,11.218284018254835
1957-01-18,44.639999,44.639999,44.639999,44.639999,2.0445770871773306
1957-01-21,44.400002,44.400002,44.400002,44.400002,1.2193730539964207
1957-01-22,44.529999,44.529999,44.529999,44.529999,31.270393430033266
1957-01-23,44.869999,44.869999,44.869999,44.869999,73.47719639295651
1957-01-24,45.029999,45.029999,45.029999,45.029999,83.19188197741803
1957-01-25,44.82,44.82,44.82,44.82,42.41298864302385
1957-01-28,44.490002,44.490002,44.490002,44.490002,16.694347641413643
1957-01-29,44.709999,44.709999,44.709999,44.709999,53.936819947929024
1957-01-30,44.91,44.91,44.91,44.91,74.59071281216444
1957-01-31,44.720001,44.720001,44.720001,44.720001,40.27757384025646
1957-02-01,44.619999,44.619999,44.619999,44.619999,27.136784689640322
1957-02-04,44.529999,44.529999,44.529999,44.529999,17.096745462290443
1957-02-05,43.889999,43.889999,43.889999,43.889999,2.7302708310438106
1957-02-06,43.82,43.82,43.82,43.82,2.306334268708838
1957-02-07,43.619999,43.619999,43.619999,43.619999,1.2220350644343654
1957-02-08,43.32,43.32,43.32,43.32,0.5069828259889277
1957-02-11,42.57,42.57,42.57,42.57,0.12914550575496264
1957-02-12,42.389999,42.389999,42.389999,42.389999,0.09511870122150867
1957-02-13,43.040001,43.040001,43.040001,43.040001,65.58423173150413
1957-02-14,42.990002,42.990002,42.990002,42.990002,59.57620499545424
1957-02-15,43.509998,43.509998,43.509998,43.509998,86.0869818253805
1957-02-18,43.459999,43.459999,43.459999,43.459999,76.44579924015476
1957-02-19,43.490002,43.490002,43.490002,43.490002,79.2365763391195
1957-02-20,43.630001,43.630001,43.630001,43.630001,90.13953566568419
1957-02-21,43.48,43.48,43.48,43.48,42.41384159665247
1957-02-25,43.380001,43.380001,43.380001,43.380001,24.86243101321797
1957-02-26,43.450001,43.450001,43.450001,43.450001,52.424835146921474
1957-02-27,43.41,43.41,43.41,43.41,36.938666764963486
1957-02-28,43.259998,43.259998,43.259998,43.259998,11.48784758860566
1957-03-01,43.740002,43.740002,43.740002,43.740002,83.63792282722403
1957-03-04,44.060001,44.060001,44.060001,44.060001,92.15941936917484
1957-03-05,44.220001,44.220001,44.220001,44.220001,94.84446850194823
1957-03-06,44.23,44.23,44.23,44.23,95.05608129245293
1957-03-07,44.209999,44.209999,44.209999,44.209999,81.64872862076251
1957-03-08,44.07,44.07,44.07,44.07,27.449177829642295
1957-03-11,43.779999,43.779999,43.779999,43.779999,7.319556742751047
1957-03-12,43.75,43.75,43.75,43.75,6.355325236350254
1957-03-13,44.040001,44.040001,44.040001,44.040001,73.59848435435231
1957-03-14,44.07,44.07,44.07,44.07,77.0133798684376
1957-03-15,44.049999,44.049999,44.049999,44.049999,65.6845130150112
1957-03-18,43.849998,43.849998,43.849998,43.849998,16.663079461952663
1957-03-19,44.040001,44.040001,44.040001,44.040001,65.53500867919877
1957-03-20,44.099998,44.099998,44.099998,44.099998,74.8496344173785
1957-03-21,44.110001,44.110001,44.110001,44.110001,76.92879592478222
1957-03-22,44.060001,44.060001,44.060001,44.060001,42.11942877023993
1957-03-25,43.880001,43.880001,43.880001,43.880001,9.892032421359005
1957-03-26,43.91,43.91,43.91,43.91,28.20306787577327
1957-03-27,44.09,44.09,44.09,44.09,79.1204670464324
1957-03-28,44.18,44.18,44.18,44.18,87.78393367396876
1957-03-29,44.110001,44.110001,44.110001,44.110001,53.35009473038431
1957-04-01,44.139999,44.139999,44.139999,44.139999,65.08769649999488
1957-04-02,44.419998,44.419998,44.419998,44.419998,93.87183493240433
1957-04-03,44.540001,44.540001,44.540001,44.540001,96.40936641012497
1957-04-04,44.439999,44.439999,44.439999,44.439999,57.04275388264969
1957-04-05,44.490002,44.490002,44.490002,44.490002,69.49804461792813
1957-04-08,44.389999,44.389999,44.389999,44.389999,32.17874428126841
1957-04-09,44.790001,44.790001,44.790001,44.790001,87.19329194785135
1957-04-10,44.98,44.98,44.98,44.98,92.76703708470458
1957-04-11,44.98,44.98,44.98,44.98,92.76703708470458
1957-04-12,44.98,44.98,44.98,44.98,92.76703708470458
1957-04-15,44.950001,44.950001,44.950001,44.950001,59.85985435451973
1957-04-16,45.02,45.02,45.02,45.02,84.88377638726507
1957-04-17,45.080002,45.080002,45.080002,45.080002,92.69310056086212
1957-04-18,45.41,45.41,45.41,45.41,98.90657543581996
1957-04-22,45.48,45.48,45.48,45.48,99.19646027180994
1957-04-23,45.650002,45.650002,45.650002,45.650002,99.64876013640078
1957-04-24,45.720001,45.720001,45.720001,45.720001,99.76000659807158
1957-04-25,45.560001,45.560001,45.560001,45.560001,40.753191475637635
1957-04-26,45.5,45.5,45.5,45.5,28.229798973724428
1957-04-29,45.73,45.73,45.73,45.73,78.6138235823309
1957-04-30,45.740002,45.740002,45.740002,45.740002,79.84446635033086
1957-05-01,46.02,46.02,46.02,46.02,95.22582977300242
1957-05-02,46.389999,46.389999,46.389999,46.389999,98.41750451959706
1957-05-03,46.34,46.34,46.34,46.34,83.3565874347683
1957-05-06,46.27,46.27,46.27,46.27,58.35273196875138
1957-05-07,46.130001,46.130001,46.130001,46.130001,26.52587803878845
1957-05-08,46.310001,46.310001,46.310001,46.310001,69.41793571399855
1957-05-09,46.360001,46.360001,46.360001,46.360001,76.90729647918607
1957-05-10,46.59,46.59,46.59,46.59,92.90113617421113
1957-05-13,46.880001,46.880001,46.880001,46.880001,97.41535422825048
1957-05-14,46.669998,46.669998,46.669998,46.669998,50.71130844714448
1957-05-15,46.830002,46.830002,46.830002,46.830002,71.51882719891339
1957-05-16,47.02,47.02,47.02,47.02,85.77779560018334
1957-05-17,47.150002,47.150002,47.150002,47.150002,91.56008094315692
1957-05-20,47.349998,47.349998,47.349998,47.349998,96.25047882749368
1957-05-21,47.330002,47.330002,47.330002,47.330002,86.62411985389197
1957-05-22,47.139999,47.139999,47.139999,47.139999,29.863497478381063
1957-05-23,47.150002,47.150002,47.150002,47.150002,34.39015006676428
1957-05-24,47.209999,47.209999,47.209999,47.209999,63.02037737765964
1957-05-27,46.779999,46.779999,46.779999,46.779999,8.686520804698574
1957-05-28,46.689999,46.689999,46.689999,46.689999,6.38289754305697
1957-05-29,47.110001,47.110001,47.110001,47.110001,73.06111814036664
1957-05-31,47.43,47.43,47.43,47.43,87.08162868133128
1957-06-03,47.369999,47.369999,47.369999,47.369999,72.86098749065891
1957-06-04,47.279999,47.279999,47.279999,47.279999,48.90330285441583
1957-06-05,47.27,47.27,47.27,47.27,45.5735878303649
1957-06-06,47.799999,47.799999,47.799999,47.799999,93.37717692576634
1957-06-07,47.849998,47.849998,47.849998,47.849998,94.31866990453149
1957-06-10,47.900002,47.900002,47.900002,47.900002,95.57648062060275
1957-06-11,47.939999,47.939999,47.939999,47.939999,96.73342123813379
1957-06-12,48.049999,48.049999,48.049999,48.049999,98.66046661070722
1957-06-13,48.139999,48.139999,48.139999,48.139999,99.31842025892847
1957-06-14,48.150002,48.150002,48.150002,48.150002,99.38551253691999
1957-06-17,48.240002,48.240002,48.240002,48.240002,99.77826938380542
1957-06-18,48.040001,48.040001,48.040001,48.040001,25.97896641792076
1957-06-19,47.720001,47.720001,47.720001,47.720001,7.716187371221409
1957-06-20,47.43,47.43,47.43,47.43,3.3929811339045983
1957-06-21,47.150002,47.150002,47.150002,47.150002,1.6297492933981061
1957-06-24,46.779999,46.779999,46.779999,46.779999,0.6866625422162969
1957-06-25,47.150002,47.150002,47.150002,47.150002,53.96490453603236
1957-06-26,47.09,47.09,47.09,47.09,45.96695715924754
1957-06-27,47.259998,47.259998,47.259998,47.259998,70.63100319244485
1957-06-28,47.369999,47.369999,47.369999,47.369999,81.53738863309962
1957-07-01,47.43,47.43,47.43,47.43,86.86047267763821
1957-07-02,47.900002,47.900002,47.900002,47.900002,97.61831749274279
1957-07-03,48.459999,48.459999,48.459999,48.459999,99.19292880876824
1957-07-05,48.689999,48.689999,48.689999,48.689999,99.47697292756571
1957-07-08,48.900002,48.900002,48.900002,48.900002,99.68160332237859
1957-07-09,48.900002,48.900002,48.900002,48.900002,99.68160332237859
1957-07-10,49,49,49,49,99.81755843942608
1957-07-11,48.860001,48.860001,48.860001,48.860001,45.46227238391166
1957-07-12,49.080002,49.080002,49.080002,49.080002,79.88614935319296
1957-07-15,49.130001,49.130001,49.130001,49.130001,84.37029879002914
1957-07-16,48.880001,48.880001,48.880001,48.880001,26.125458311896963
1957-07-17,48.580002,48.580002,48.580002,48.580002,9.83332351438439
1957-07-18,48.529999,48.529999,48.529999,48.529999,8.14095260028725
1957-07-19,48.580002,48.580002,48.580002,48.580002,31.66324213159581
1957-07-22,48.470001,48.470001,48.470001,48.470001,14.88880305039254
1957-07-23,48.560001,48.560001,48.560001,48.560001,54.410389933844414
1957-07-24,48.610001,48.610001,48.610001,48.610001,69.92664823573602
1957-07-25,48.610001,48.610001,48.610001,48.610001,69.92664823573602
1957-07-26,48.450001,48.450001,48.450001,48.450001,13.054702862116372
1957-07-29,47.919998,47.919998,47.919998,47.919998,2.043565123600928
1957-07-30,47.919998,47.919998,47.919998,47.919998,2.043565123600928
1957-07-31,47.91,47.91,47.91,47.91,1.9212860792508906
1957-08-01,47.790001,47.790001,47.790001,47.790001,0.7885943760336289
1957-08-02,47.68,47.68,47.68,47.68,0.3789755641855095
1957-08-05,47.259998,47.259998,47.259998,47.259998,0.07630587712648662
1957-08-06,46.669998,46.669998,46.669998,46.669998,0.023523448940906633
1957-08-07,47.029999,47.029999,47.029999,47.029999,45.786857090150185
1957-08-08,46.900002,46.900002,46.900002,46.900002,34.411145461657824
1957-08-09,46.919998,46.919998,46.919998,46.919998,39.068301794726594
1957-08-12,46.330002,46.330002,46.330002,46.330002,7.527433670722061
1957-08-13,46.299999,46.299999,46.299999,46.299999,6.956257149385422
1957-08-14,45.73,45.73,45.73,45.73,1.7914089647130993
1957-08-15,45.75,45.75,45.75,45.75,6.655019592976188
1957-08-16,45.830002,45.830002,45.830002,45.830002,33.14335826199451
1957-08-19,44.91,44.91,44.91,44.91,4.403543493620788
1957-08-20,45.290001,45.290001,45.290001,45.290001,44.301835289100055
